,Date,User,Tweet
0,2020-09-29 23:54:08+00:00,SteveDeaceShow,"4 predictions for #PresidentialDebate: 

1) Biden will focus on #COVID19. 
2) Trump will focus on returning America to what it was prior to #Covid lockdown, and tying Democrats to civil unrest. 
3) Biden's dementia will not be on display. 
4) Debate doesn't move the needle."
1,2020-09-29 23:47:27+00:00,RealMed3,So I guess we are now just back to being healthcare workers not ✨healthcare heroes✨ ? #COVID19 #MedTwitter
2,2020-09-29 23:44:28+00:00,SSWorks,"Donald Trump recently claimed that #COVID19 “affects virtually nobody” except “elderly people.” 

The 200,000 people who have died of #COVID19 aren’t “nobody.” And seniors are NOT DISPOSABLE."
3,2020-09-29 23:42:22+00:00,NVPatriotGirl,Remember that time all of the #liberals said the Nevada #trump rallies and #nomasknevada rallies would cause a spike in #coronavirus infections? Our state has seen a plummet in infections and hospitalizations. Thanks for playing try again! #RecallSisolak #turnnvred  #MAGA2020
4,2020-09-29 23:36:49+00:00,MelissaLMRogers,"Another lockdown will be catastrophic for small businesses, and for the mental health of people. 

Already started in #Montreal, with a lockdown for 28 days.

Causing much more negative impact than Covid itself. 

#onpoli #cdnpoli #COVID19"
5,2020-09-29 23:13:24+00:00,RobbieSherwood,"Hey Chris Wallace (@FoxNewsSunday), the number of #COVID19 deaths in the United States is 206,000. It would be a disservice to your viewers and to the country if you don't bring this up. #Debates2020 #debate"
6,2020-09-29 23:12:50+00:00,BetteMidler,#Wisconsin! Donald is AGAIN coming to your state to have one of his #COVID parties...I mean rallies...in a hotspot. Donate now to get this tax-cheating killer out so he can't come back except maybe to the federal prison in Oxford! @WisDems
7,2020-09-29 23:10:22+00:00,Laurie_Garrett,"Yesterday #Trump told USA he's releasing 150M rapid #COVID19 tests. Today?
""utter lack of planning &amp; guidance that’s creating problems. Their approach is to just throw things over the fence to the states and to say, ‘Take this, and deal with the problem.’ ”
Per @washingtonpost"
8,2020-09-29 23:09:56+00:00,mickakers,"Sisolak: Event with over 2,500 fix seating can have 10% of capacity, includes Allegiant Stadium. that means capacity crowds of 6,500 could be possible for UNLV football games at Allegiant Stadium. Must be in sections of no more that 250 each #vegas #coronavirus"
9,2020-09-29 23:08:58+00:00,donwinslow,"As companies begin to lay off 30,000 and 40,000 people *PER DAY* ask the Trumpers if the #coronavirus is real yet?

Or are they planning to wait until they are evicted from their homes?

God knows 200,000 dead didn't make it real for them."
10,2020-09-29 23:04:19+00:00,Buzzbomb11,Two year Cancer free can't believe it even #covid can't put a downer on that #cancer #bowelcancer
11,2020-09-29 23:00:57+00:00,SKYRIDER4538,"Wow .... 

And this is why we call #democrat voters ignorant &amp; gullible. 

PA Governor admitting on hot mic that she wears a mask for “POLITICAL THEATER”. 

#PresidentialDebate2020 
#COVID19 
#coronavirus 
@RealJamesWoods
@TuckerCarlson 
@seanhannity"
12,2020-09-29 23:00:38+00:00,miffythegamer,"This is only an opinion and not an endorsement, but I honestly think there will be civil unrest in Britain over the next year. I don’t believe in woo or mystical sh*te, but I have a terrible sinking feeling. 

#InternalMarketBill #Brexit #FoodAndMedShortages #coronavirus"
13,2020-09-29 22:51:39+00:00,and_kell,I'm really surprised #DementiaJoe didn't come down with #covid.
14,2020-09-29 22:46:58+00:00,CPHO_Canada,"1/2 Getting tested for #COVID19 is an act of kindness that can protect you, your family &amp; our communities.
#TestandTrace"
15,2020-09-29 22:40:02+00:00,keithbaldrey,"Washington state #COVID19 update: 404 new cases today and 24 deaths. In the past week, 54 people have DIED. 132 put in hospital. 3829 new cases. Right across the border."
16,2020-09-29 22:33:14+00:00,katherinefugate,"There is no debate over racism. 

There is no debate over bounties on American soldiers. 

There is no debate over 200,000 deaths by #COVID19.

There is no debate tonight.

There is @JoeBiden and a liar."
17,2020-09-29 22:27:46+00:00,CPHO_Canada,"1/3 @GovCanHealth is reviewing a range of simpler to use and faster #COVID19 tests. As the regulator, Health Canada is responsible for ensuring the safety, effectiveness and quality of all tests, which is crucial for disease management."
18,2020-09-29 22:25:58+00:00,DrEricBall,Super proud of my daughter who just got a nasal swab and a blood draw as part of a study on #COVID19 and schools through @chocchildrens and @UCIrvineHealth
19,2020-09-29 22:25:19+00:00,nckhui,It is very unusual for Wake County school board members to publicly express frustration w/ staff. Chris Heagarty says it's unfair 2 families that a revised school reopening plan was presented to the board hours ago. He says he'll ask for changes to plan. #wcpss #nced #coronavirus
20,2020-09-29 22:24:04+00:00,RavMABAY,"Donald Trump is the President. 🤮

He can try to pretend he's the challenger.

But he's the incumbent president. 

It's just the truth. 

203,000+ died from #COVID19 while he's been president. 

#Debates2020"
21,2020-09-29 22:15:03+00:00,EricKlinenberg,"Breaking: Trump campaign has asked #debate moderator Chris Wallace not to discuss the following sensitive issues:
- #COVID19 deaths
- #TaxEvasion 
- Unemployment
- Detention centers at border
- Forced sterilization by ICE
- #ClimateChange
- Racial inequality
All other topics open"
22,2020-09-29 22:14:42+00:00,rebeccabutlerm2,"Remainers melting over Lindsay Hoyle refusing Brady Amendment. 

Unlike the odious Bercow, Hoyle abides by procedure and precedent. 

It’s an all or nothing vote on the entirety. 
PM will buckle. No question. #Speaker #Parliament #COVID19 #COVIDIOTS #CoronavirusAct"
23,2020-09-29 22:12:29+00:00,nckhui,Jim Martin complains Wake County school board didn't get final reopening recommendation until 1:30 pm. He complains that multiple plans have been presented &amp; revised in last 24 hours. He says staff wants a vote b/c they want to say board wants to do it. #wcpss #nced #coronavirus
24,2020-09-29 22:05:21+00:00,rebeccabutlerm2,"Internal Market Bill. 
More time spent on it than most. 
Now we can protect the integrity of the Union. 
EU threats have been dealt with. 

Now - let’s talk Canada Deal with annual fishing quotas. #timetobebrave #TimeToTalk #canadaDeal #wto #FTVACanada #COVID19"
25,2020-09-29 21:52:18+00:00,GorillaActivist,Watching trump is such an out of body experience. Not often do we see a true psychopath in action. It’s scary for this Englishman and watching him let 1000s of Americans die to #COVID19 is earth shattering. My heart feels the sadness that all real Americans must feel. I’m sorry.
26,2020-09-29 21:44:55+00:00,CPHO_Canada,"1/3 #Testandtrace to interrupt new chains of #COVID19 transmission &amp; prevent further infections is a cornerstone of our #PublicHealth response. 
But don’t forget your part! YOU + #PublicHealth = #PlankIt! #DownsizeYourBubble"
27,2020-09-29 21:43:12+00:00,AngelaRayner,"The PM and his inept useless government stumble from one crisis to another, failing on #COVID19 failing on International Law, failing on planning, failing on PPE, failing students, failing on food standards, failing on impartial job appointments, failing on the Green agenda, 😩"
28,2020-09-29 21:41:12+00:00,Jasosamd,"The root of so much misadventure in medicine (maybe life) comes from mis-communication, late communication &amp; no communication. #COVID19 &amp; the isolation it has caused is exacerbating it. People, pick up the phone and call! #MedTwitter"
29,2020-09-29 21:37:01+00:00,Miss_HoA_T,"If ever I were to be fined, I’d never pay, the fines could mount up, they’d spend more money chasing me and subsequently imprisoning me because I will NEVER comply #cancelthecurfew #CoronavirusAct #COVID19"
30,2020-09-29 21:35:08+00:00,SteveCollinsSJ,"At @BatesCollege, they've done more than 20,000 #COVID19 tests since August, most on students, &amp; found just two positives. Both have recovered.
The Lewiston, Maine campus remains a pretty locked down place, with no visitors, lots of masks &amp; social distancing.
But it's been safe."
31,2020-09-29 21:19:46+00:00,TheNoahWeeks,"Btw Trump asked for Chris Wallace NOT to bring up the 205k+ #COVID19 deaths tonight. 

What does he want to talk about, the weather? Dang, nope — that means talking climate change..."
32,2020-09-29 21:15:00+00:00,NEJM,"The Moderna mRNA vaccine, which elicited antibodies and T cells specific for the Covid-19 virus in adults 55 years of age or younger, elicited similarly high levels of neutralizing-antibody and CD4 T-cell responses in older adults. 
#COVID19 #SARSCoV2"
33,2020-09-29 21:14:21+00:00,derekjames150,"So, #BorisJohnson's handling of #Covid19 was down at half time. And, early in the second half, he's just scored another own goal. Personally, I'd sack the manager now!"
34,2020-09-29 21:12:47+00:00,EricaRN4USA,"Seriously @JoeBiden reminds me of a backseat driver when it comes to the corona virus. It astonishes me that anyone would trust him over @realDonaldTrump who has tried to keep us safe. Not all of those who died, died from #COVID19 #DebateTuesday #FourMoreYears"
35,2020-09-29 21:12:44+00:00,JJKALE2,"Brendan Murphy and Scott Morrison had a #COVID19 plan - it was called ""Herd Immunity"" 

Remember?

#AuspolSoCorrupt"
36,2020-09-29 21:11:11+00:00,IsraelPremTech,Our team managers  in #BinckBankTour just got a word that tomorrow second stage TT is CANCELED due the  #COVID19 situation in the Netherlands 🇳🇱 where the TT was suppose to take place. Next:
